Row_#,Test_Case_ID,PASS_FAIL,Status,Priority,Area,Spec_File,Suite_Path,Test_Steps_Numbered,Expected_Result,Actual_Result,Weakness_Gap,Duration_Ms,Stats_Passed,Stats_Failed,Stats_Skipped,Stats_Total
13,SEUP-TC-013,FAIL,Failed,P2,Visitors,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-013 | Visitors search or fallback shell,1. visitors | 2. search,"Search functionality is available when applicable; otherwise, the main shell is visible.",13. Page remains stable after scroll interactions.,-,53806,61,17,0,78
14,SEUP-TC-014,PASS,Passed,P2,Visitors,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-014 | Visitors body semantic check,1. visitors | 2. innerText,"Visitor, user, or chat-related text content is present.",14. Visitor-related content is visible in UI text.,-,14104,61,17,0,78
15,SEUP-TC-015,PASS,Passed,P2,Chat logs,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-015 | Chat logs scroll stress,1. chat-logs | 2. wheel,Page remains stable during scroll interactions.,15. Navigation between visitors and chat logs works correctly.,-,16175,61,17,0,78
16,SEUP-TC-016,PASS,Passed,P2,Chat logs,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-016 | Chat logs filter input if any,1. chat-logs | 2. filter,"Filter or search controls are usable, or the page remains valid without them.",16. Chat logs display conversation-style or dense UI.,-,17635,61,17,0,78
17,SEUP-TC-017,PASS,Passed,P1,Navigation,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-017 | Visitors → chat-logs navigation,1. visitors | 2. chat-logs,Sequential navigation across routes maintains authenticated state.,17. Row-based or list-based structure is present where applicable.,-,14902,61,17,0,78
18,SEUP-TC-018,PASS,Passed,P1,Chat logs,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-018 | Chat logs — list/transcript density (not only shell),1. chat-logs | 2. rows or body length,"Rows, list items, or dense UI content (e.g., conversation UI) is visible.",18. At least one interactive control is available on the page.,-,16601,61,17,0,78
19,SEUP-TC-019,FAIL,Failed,P2,Visitors,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-019 | Visitors table/grid hint,1. visitors | 2. structure,Table or row-like structure is present.,19. UI provides sufficient controls for user interaction.,-,13479,61,17,0,78
21,SEUP-TC-021,PASS,Passed,P2,Visitors,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-021 | Visitors — interactive surface (buttons + links),1. visitors | 2. count visible buttons and links,Sufficient interactive controls are present to operate the page.,21. Sorting or interaction with headers does not break UI.,-,16638,61,17,0,78
22,SEUP-TC-022,PASS,Passed,P2,Chat logs,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-022 | Chat logs network idle,1. chat-logs | 2. networkidle,Network idle or timeout conditions do not cause application crashes.,22. Sidebar links navigate correctly when available.,-,18064,61,17,0,78
23,SEUP-TC-023,PASS,Passed,P3,Visitors,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-023 | Visitors column header soft click,1. visitors | 2. th,Optional sorting interactions do not break page stability.,23. Analytics page contains numeric or data-driven content.,-,14187,61,17,0,78
24,SEUP-TC-024,PASS,Passed,P2,Navigation,seup-02-visitors-chat-deep.spec.ts,seup-02-visitors-chat-deep.spec.ts > SEUP — Visitors & chat-logs detail > SEUP-TC-024 | Sidebar chat link optional,1. workspace | 2. link,"Sidebar navigation works when present; otherwise, session remains valid.",24. Charts or large data sections are rendered properly.,-,13961,61,17,0,78
25,SEUP-TC-025,PASS,Passed,P1,Analytics,seup-03-analytics-monitor-export.spec.ts,seup-03-analytics-monitor-export.spec.ts > SEUP — Analytics export & monitor > SEUP-TC-025 | Analytics KPI / digits present,1. Login | 2. analytics | 3. regex,Numeric or metric data is visible in the analytics section.,25. Export or download functionality is accessible where applicable.,-,16855,61,17,0,78
26,SEUP-TC-026,PASS,Passed,P2,Analytics,seup-03-analytics-monitor-export.spec.ts,seup-03-analytics-monitor-export.spec.ts > SEUP — Analytics export & monitor > SEUP-TC-026 | Analytics charts hint (svg/canvas),1. analytics | 2. charts,Charts (SVG/canvas) or large analytics content is present.,26. Export actions function after scrolling through dashboard.,-,18189,61,17,0,78
27,SEUP-TC-027,FAIL,Failed,P0,Analytics,seup-03-analytics-monitor-export.spec.ts,seup-03-analytics-monitor-export.spec.ts > SEUP — Analytics export & monitor > SEUP-TC-027 | Export reports — primary,1. analytics | 2. tryAnalyticsExport,Export or download action completes successfully or shows confirmation.,27. Dashboard layout contains structured sections or headings.,SEUP-GAP-EXPORT: no-export-control-found | SEUP-GAP-EXPORT,78584,61,17,0,78
31,SEUP-TC-031,PASS,Passed,P1,Monitor,seup-03-analytics-monitor-export.spec.ts,seup-03-analytics-monitor-export.spec.ts > SEUP — Analytics export & monitor > SEUP-TC-031 | Monitor operational text,1. monitor | 2. body,"Monitoring page includes terminology such as monitor, live, or agent.",31. Navigation between analytics and monitor remains authenticated.,-,14613,61,17,0,78
32,SEUP-TC-032,PASS,Passed,P2,Monitor,seup-03-analytics-monitor-export.spec.ts,seup-03-analytics-monitor-export.spec.ts > SEUP — Analytics export & monitor > SEUP-TC-032 | Monitor double reload,1. monitor | 2. reload | 3. reload,Multiple page reloads preserve the authenticated state.,32. Monitor module provides actionable controls.,-,14110,61,17,0,78
33,SEUP-TC-033,PASS,Passed,P1,Navigation,seup-03-analytics-monitor-export.spec.ts,seup-03-analytics-monitor-export.spec.ts > SEUP — Analytics export & monitor > SEUP-TC-033 | Analytics ↔ monitor round trip,1. goto chain,Navigation between analytics and monitor pages remains stable.,33. Multiple interactive buttons are available on key pages.,-,23860,61,17,0,78
34,SEUP-TC-034,PASS,Passed,P2,Monitor,seup-03-analytics-monitor-export.spec.ts,seup-03-analytics-monitor-export.spec.ts > SEUP — Analytics export & monitor > SEUP-TC-034 | Monitor — interactive surface count,1. monitor | 2. count interactives,Monitor page includes actionable buttons or links.,34. Visitors export works after navigation.,-,17193,61,17,0,78
37,SEUP-TC-037,PASS,Passed,P0,Users,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-037 | Users route",1. Login | 2. users,/users route is accessible within an authenticated session.,37. Tags page is accessible and functional.,-,18203,61,17,0,78
38,SEUP-TC-038,PASS,Passed,P0,Users,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-038 | Users — Add User opens form",1. users | 2. Add | 3. form,Add or invite action opens a modal containing input fields.,38. Tag creation interface is available.,-,18623,61,17,0,78
39,SEUP-TC-039,PASS,Passed,P0,Tags,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-039 | Tags route",1. Login | 2. tags,/tags route loads successfully under authentication.,39. Canned responses module loads correctly.,-,18932,61,17,0,78
40,SEUP-TC-040,PASS,Passed,P0,Tags,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-040 | Tags — Create tag opens form",1. tags | 2. Create | 3. form,Tag creation interface is available.,40. Response/template management UI is visible.,-,17827,61,17,0,78
41,SEUP-TC-041,PASS,Passed,P0,Canned,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-041 | Canned responses route",1. Login | 2. canned,/canned-responses route is accessible within an authenticated session.,41. Users page displays non-empty structured content.,-,17907,61,17,0,78
42,SEUP-TC-042,PASS,Passed,P0,Canned,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-042 | Canned — Manage/Add response opens form",1. canned | 2. Add | 3. form,Add or manage actions open a form or modal correctly.,42. Tags-related terminology is present in UI text.,-,18260,61,17,0,78
43,SEUP-TC-043,PASS,Passed,P2,Users,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-043 | Users list substance",1. users | 2. body length,"Users page contains meaningful, non-trivial content.",43. Canned responses include template/message-related content.,-,14264,61,17,0,78
46,SEUP-TC-046,PASS,Passed,P1,Users,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-046 | Users — table or user rows / cards present",1. users | 2. rows or tr or listitem,"Users screen displays rows, cards, or list structures rather than being empty.",46. Reloading tags and canned pages preserves session.,-,16786,61,17,0,78
47,SEUP-TC-047,PASS,Passed,P2,Tags,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-047 | Tags — interactive controls density",1. tags | 2. count interactives,Tags page includes actionable UI elements such as buttons or links.,47. Widget settings page loads in authenticated state.,-,17152,61,17,0,78
48,SEUP-TC-048,PASS,Passed,P2,Navigation,seup-04-users-tags-canned.spec.ts,"seup-04-users-tags-canned.spec.ts > SEUP — Users, tags, canned responses > SEUP-TC-048 | Tags + canned — sequential reload session integrity",1. tags | 2. reload | 3. canned | 4. reload,Reloading tags and canned responses pages maintains authentication in a single flow.,48. Tabs within widget settings are clickable and responsive.,-,16470,61,17,0,78
49,SEUP-TC-049,PASS,Passed,P0,Widget settings,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-049 | Widget settings route",1. Login | 2. widget-settings,/widget-settings route is accessible under authentication.,49. Save functionality is available where applicable.,-,17536,61,17,0,78
50,SEUP-TC-050,PASS,Passed,P1,Widget settings,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-050 | Widget settings — all tabs walk + save",1. widget-settings | 2. exerciseWidgetSettingsPage,"Tabs can be navigated, and save action works if available.",50. Preview controls behave correctly when present.,-,24889,61,17,0,78
51,SEUP-TC-051,PASS,Passed,P1,Widget settings,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-051 | Widget settings — hide preview",1. widget-settings | 2. hide preview,Preview visibility can be toggled when the control exists.,51. Reset functionality is visible and operational when available.,-,14330,61,17,0,78
52,SEUP-TC-052,PASS,Passed,P1,Widget settings,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-052 | Widget settings — reset",1. widget-settings | 2. reset,Reset action works with confirmation when available.,52. Saving settings does not break session state.,-,13263,61,17,0,78
53,SEUP-TC-053,PASS,Passed,P0,Widget settings,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-053 | Widget settings — save changes",1. widget-settings | 2. save,Save changes action executes successfully when present.,53. Reload after settings changes keeps user authenticated.,-,14353,61,17,0,78
54,SEUP-TC-054,PASS,Passed,P2,Widget settings,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-054 | Widget settings reload after actions",1. widget-settings | 2. save | 3. reload,Reloading the page retains the authenticated session.,54. Personal settings page contains editable fields.,-,14995,61,17,0,78
55,SEUP-TC-055,PASS,Passed,P0,Personal,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-055 | Personal route — all features surface",1. Login | 2. personal | 3. inputs,/personal page includes editable input fields.,55. Text input fields accept user input.,-,18638,61,17,0,78
57,SEUP-TC-057,PASS,Passed,P0,Account,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-057 | Account route",1. Login | 2. account,/account page loads successfully under authentication.,57. Account-related terminology is present in UI.,-,17808,61,17,0,78
59,SEUP-TC-059,PASS,Passed,P1,Account,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-059 | Account shell (main/form)",1. account | 2. shell,Main content area or form is displayed correctly.,59. Navigation between personal and account pages works correctly.,-,16822,61,17,0,78
60,SEUP-TC-060,PASS,Passed,P2,Navigation,seup-05-widget-personal-account.spec.ts,"seup-05-widget-personal-account.spec.ts > SEUP — Widget-settings, personal, account > SEUP-TC-060 | Personal → account flow",1. personal | 2. account,Navigation between personal and account pages maintains authentication.,60. Roles management page is accessible.,-,14734,61,17,0,78
61,SEUP-TC-061,PASS,Passed,P0,Roles,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-061 | Roles route",1. Login | 2. roles,/roles route is accessible.,61. Add role functionality is available.,-,18575,61,17,0,78
62,SEUP-TC-062,PASS,Passed,P0,Roles,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-062 | Roles — Add Role form",1. roles | 2. Add | 3. form,Role creation interface is available.,62. Permissions page loads correctly.,-,17989,61,17,0,78
63,SEUP-TC-063,PASS,Passed,P0,Permissions,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-063 | Permissions route",1. Login | 2. permissions,/permissions page loads successfully.,63. Add permission interface is present.,-,18432,61,17,0,78
64,SEUP-TC-064,PASS,Passed,P0,Permissions,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-064 | Permissions — Add Permission form",1. permissions | 2. Add | 3. form,Permission creation interface is accessible.,64. Triggers page is accessible.,-,18920,61,17,0,78
65,SEUP-TC-065,PASS,Passed,P0,Triggers,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-065 | Triggers route",1. Login | 2. triggers,/triggers page is accessible.,65. Add trigger functionality is available.,-,18214,61,17,0,78
66,SEUP-TC-066,PASS,Passed,P0,Triggers,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-066 | Triggers — Add Trigger form",1. triggers | 2. Add | 3. form,Trigger creation interface is available.,66. Departments page loads successfully.,-,19285,61,17,0,78
67,SEUP-TC-067,PASS,Passed,P0,Departments,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-067 | Departments route",1. Login | 2. departments,/departments page loads correctly.,67. Add department interface is present.,-,18218,61,17,0,78
68,SEUP-TC-068,PASS,Passed,P0,Departments,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-068 | Departments — Add Department form",1. departments | 2. Add | 3. form,Department creation interface is present.,68. Banned visitors page is accessible.,-,19709,61,17,0,78
69,SEUP-TC-069,PASS,Passed,P0,Banned,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-069 | Banned visitors route",1. Login | 2. banned,/banned-visitors route is accessible.,69. Ban action opens form or modal correctly.,-,17869,61,17,0,78
70,SEUP-TC-070,PASS,Passed,P0,Banned,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-070 | Banned — Ban IP Address flow",1. banned | 2. Ban | 3. form,Ban action opens a form or modal interface.,70. All configured URLs load under authenticated session.,-,19125,61,17,0,78
71,SEUP-TC-071,PASS,Passed,P1,Stress,seup-06-rbac-banned-stress-pipeline.spec.ts,"seup-06-rbac-banned-stress-pipeline.spec.ts > SEUP — RBAC, banned, matrix stress, widget pipeline > SEUP-TC-071 | Full URL matrix (all innovax routes)",1. forEach URLS,All configured URLs are accessible under authenticated session.,71. Widget-generated messages appear on dashboard where expected.,-,81318,61,17,0,78
74,SEUP-TC-074,PASS,Passed,P2,Navigation,seup-07-post-pull-extra.spec.ts,seup-07-post-pull-extra.spec.ts > SEUP — Post–updated-pull extra coverage (073–078) > SEUP-TC-074 | Widget-settings then analytics,1. widget-settings | 2. analytics,Navigation from widget settings to analytics maintains authentication.,74. Multiple core modules load in sequence without issues.,-,15845,61,17,0,78
75,SEUP-TC-075,PASS,Passed,P2,Navigation,seup-07-post-pull-extra.spec.ts,seup-07-post-pull-extra.spec.ts > SEUP — Post–updated-pull extra coverage (073–078) > SEUP-TC-075 | Chat-logs → monitor → visitors chain,1. chat-logs | 2. monitor | 3. visitors,Multiple core modules can be accessed in a custom navigation order.,75. Save or update actions execute without errors.,-,24851,61,17,0,78
76,SEUP-TC-076,PASS,Passed,P3,Account,seup-07-post-pull-extra.spec.ts,seup-07-post-pull-extra.spec.ts > SEUP — Post–updated-pull extra coverage (073–078) > SEUP-TC-076 | Account save / submit control if visible,1. account | 2. optional save,Save or update actions execute successfully when available.,76. Security-related settings pages are accessible and distinct.,-,17582,61,17,0,78
77,SEUP-TC-077,PASS,Passed,P2,Navigation,seup-07-post-pull-extra.spec.ts,seup-07-post-pull-extra.spec.ts > SEUP — Post–updated-pull extra coverage (073–078) > SEUP-TC-077 | Banned → personal → account (profile & security path),1. banned-visitors | 2. personal | 3. account,Security-related settings pages load distinctly and correctly.,77. End-to-end workflow remains stable after latest updates.,-,24096,61,17,0,78
