Row#,title,file,expected_result,actual_result,status,duration_ms
11,TC-CL-002 | URL segment chat-logs | Expected: path match,D:\Meta implementations\E2es Simple DC\tests\02-chat-logs.spec.ts,Workspace host should remain consistent across navigation.,Route structure valid,passed,4172
12,TC-CL-003 | Conversation topic copy | Expected: chat-related wording,D:\Meta implementations\E2es Simple DC\tests\02-chat-logs.spec.ts,URL structure should match expected route.,Chat-related UI content present,passed,4275
13,TC-CL-004 | Search filter or toolbar | Expected: searchbox or filter control,D:\Meta implementations\E2es Simple DC\tests\02-chat-logs.spec.ts,Chat-related labels or headings should be visible.,Search/filter input available,passed,4136
14,TC-CL-005 | List grid or empty state | Expected: table list or empty hint,D:\Meta implementations\E2es Simple DC\tests\02-chat-logs.spec.ts,Search or filtering controls should be available.,Data list or placeholder visible,passed,4206
15,"TC-CL-006 | Tab or segment for views | Expected: tabs, filters, scroll panes, or embed frame",D:\Meta implementations\E2es Simple DC\tests\02-chat-logs.spec.ts,A data surface (table/list) or empty state should be shown.,Tabs/scroll/embedded UI present,passed,4122
16,TC-CL-007 | Second tab clickable if present | Expected: stays on chat-logs,D:\Meta implementations\E2es Simple DC\tests\02-chat-logs.spec.ts,"Tabs, filters, or scrollable sections should be present.",Still within chat logs context,passed,4168
17,"TC-CL-008 | Start new conversation CTA | Expected: new chat, compose, or message composer",D:\Meta implementations\E2es Simple DC\tests\02-chat-logs.spec.ts,User should remain on chat logs page during interaction.,Composer or new message option available,failed,4124
18,TC-ST-001 | Settings shell loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,Message composer or new chat option should be accessible.,Host verified again,passed,4435
19,TC-ST-002 | URL settings | Expected: settings segment,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,Workspace host should persist on settings navigation.,Settings route reached,passed,4294
20,TC-ST-003 | Settings domain copy | Expected: settings or account wording,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,Settings route should be correctly reflected in URL.,Account/settings content visible,passed,4399
21,TC-ST-004 | Tablist present | Expected: at least one tab,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,Settings/account-related content should be visible.,Tabs exist in UI,passed,4408
22,TC-ST-005 | Click tab index 0 | Expected: tab visible after click,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,At least one tab should exist on settings page.,Tab interaction works,passed,4493
23,TC-ST-006 | Click tab index 1 | Expected: URL still settings,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,Tabs should display content when clicked.,URL unchanged after interaction,passed,4436
24,TC-ST-007 | Click tab index 2 | Expected: URL still settings,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,URL should remain stable while switching tabs.,Route stability maintained,passed,4400
25,TC-ST-008 | Click tab index 3 if exists | Expected: no crash,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,No unexpected navigation should occur during tab switching.,No crash observed,passed,4426
26,TC-ST-009 | Export control discoverable | Expected: export or download on some tab,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,UI should not crash during interactions.,Export/download option exists,passed,4355
27,TC-ST-010 | Import or file restore | Expected: import button or file input on some tab,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,Export/download functionality should be available.,Import/file input available,passed,4528
28,"TC-ST-011 | Save or auto-save affordance | Expected: save, auto-save copy, or typical settings labels",D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,Import/file upload option should be present.,Save or config labels present,passed,4694
29,TC-ST-012 | Interactive settings surface | Expected: several controls in main pane,D:\Meta implementations\E2es Simple DC\tests\03-settings.spec.ts,Save or auto-save indicators should be visible.,Multiple controls rendered,passed,4454
30,TC-CR-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\04-canned-responses.spec.ts,Multiple configurable controls should exist in settings.,Host loads properly,passed,4418
31,TC-CR-002 | URL canned-responses | Expected: path,D:\Meta implementations\E2es Simple DC\tests\04-canned-responses.spec.ts,Workspace host should persist on templates page.,Correct route opened,passed,4262
32,TC-CR-003 | Template vocabulary | Expected: canned or template wording,D:\Meta implementations\E2es Simple DC\tests\04-canned-responses.spec.ts,Route path should match expected structure.,Template/canned wording present,passed,4256
33,"TC-CR-004 | Manage list surface | Expected: table, grid, list, or response rows",D:\Meta implementations\E2es Simple DC\tests\04-canned-responses.spec.ts,Template/canned response content should be visible.,List/grid of responses visible,passed,4163
34,TC-CR-005 | Add response CTA | Expected: add or create button,D:\Meta implementations\E2es Simple DC\tests\04-canned-responses.spec.ts,Data should be displayed in list/grid/table form.,Create/add action available,passed,4389
35,TC-CR-006 | Open add flow surfaces inputs | Expected: dialog or visible fields,D:\Meta implementations\E2es Simple DC\tests\04-canned-responses.spec.ts,Add/Create action should be available.,Form/dialog opens successfully,passed,4514
36,TC-WG-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,Action should open a dialog or input form.,Host stable,passed,4366
37,TC-WG-002 | URL widget-settings | Expected: path,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,Workspace host should persist on widget settings.,Route valid,passed,4447
38,TC-WG-003 | Widget copy | Expected: widget or embed wording,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,Widget settings route should be correct.,Widget/embed context visible,passed,4352
39,TC-WG-004 | Iterate widget tabs 0-4 | Expected: each tab clickable when present,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,Widget/embed-related content should be visible.,Tabs interact correctly,passed,4699
40,TC-WG-005 | Hide preview control | Expected: toggle or hide preview,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,Tabs should be interactive if present.,Preview toggle works,passed,4327
41,TC-WG-006 | Toggle hide preview safe click | Expected: no unhandled error state,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,"Toggle (e.g., preview/hide) controls should exist.",No runtime error,passed,4468
42,TC-WG-007 | Reset control | Expected: reset button,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,No unhandled errors should occur.,Reset control available,passed,4332
43,TC-WG-008 | Save changes control | Expected: save or apply,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,Reset option should be available.,Save/apply action visible,passed,4336
44,TC-WG-009 | Color or position inputs on a tab | Expected: form control after tab sweep,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,Save/Apply action should be visible.,Form usable after navigation,passed,4674
45,TC-WG-010 | Last widget tab reachable | Expected: final tab exists when multiple,D:\Meta implementations\E2es Simple DC\tests\05-widget-settings.spec.ts,Form controls should remain usable after tab navigation.,Multiple tabs confirmed,passed,4476
46,TC-US-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\06-users.spec.ts,All tabs should function correctly.,Host loads,passed,4197
47,TC-US-002 | URL users | Expected: path,D:\Meta implementations\E2es Simple DC\tests\06-users.spec.ts,Workspace host should persist on users page.,Route correct,passed,4135
48,TC-US-003 | Team vocabulary | Expected: user or role wording,D:\Meta implementations\E2es Simple DC\tests\06-users.spec.ts,URL path should match expected route.,User/role context present,passed,4224
49,TC-US-004 | Add user CTA | Expected: add or invite visible,D:\Meta implementations\E2es Simple DC\tests\06-users.spec.ts,User/team-related content should be visible.,Invite/add button visible,passed,4139
50,TC-US-005 | Open add user reveals email field | Expected: dialog or email input,D:\Meta implementations\E2es Simple DC\tests\06-users.spec.ts,Add/Invite user button should be present.,Modal/input appears,passed,4612
51,TC-US-006 | Role or status filter | Expected: combobox or filter chip,D:\Meta implementations\E2es Simple DC\tests\06-users.spec.ts,Action should open dialog or email input form.,Filter/search UI exists,passed,4207
52,TC-US-007 | Search users placeholder | Expected: search input,D:\Meta implementations\E2es Simple DC\tests\06-users.spec.ts,Filter controls (dropdown/chips) should exist.,Search field visible,passed,4486
53,TC-US-008 | User table header | Expected: column header or row,D:\Meta implementations\E2es Simple DC\tests\06-users.spec.ts,Search input should be available.,Table headers/rows shown,passed,4135
54,TC-BV-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\07-banned-visitors.spec.ts,Table headers or rows should be visible.,Host validated,passed,4147
55,TC-BV-002 | URL banned-visitors | Expected: path,D:\Meta implementations\E2es Simple DC\tests\07-banned-visitors.spec.ts,Workspace host should persist on banned visitors page.,Route correct,passed,4469
56,TC-BV-003 | Ban vocabulary | Expected: ban or IP wording,D:\Meta implementations\E2es Simple DC\tests\07-banned-visitors.spec.ts,Route path should be correct.,Ban/IP section visible,passed,4229
57,TC-BV-004 | Ban IP entry control | Expected: ban or add button,D:\Meta implementations\E2es Simple DC\tests\07-banned-visitors.spec.ts,Ban/IP-related wording should be visible.,Add/ban action available,passed,4223
58,TC-BV-005 | Open ban dialog | Expected: dialog or IP field,D:\Meta implementations\E2es Simple DC\tests\07-banned-visitors.spec.ts,Ban/Add IP button should be present.,Input/dialog appears,passed,4535
59,TC-BV-006 | Banned list or empty | Expected: grid or empty text,D:\Meta implementations\E2es Simple DC\tests\07-banned-visitors.spec.ts,Dialog or IP input field should open.,Grid or empty state shown,passed,4152
60,TC-CB-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,Data grid or empty state should be shown.,Host correct,passed,4135
61,TC-CB-002 | URL chatbots | Expected: path,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,Workspace host should persist on bots page.,Route valid,passed,4259
62,TC-CB-003 | Bot vocabulary | Expected: bot or flow wording,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,URL should match expected route.,Bot/flow section visible,passed,4097
63,TC-CB-004 | Create chatbot CTA | Expected: create button,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,Bot/automation-related content should be visible.,Create action present,passed,4111
64,TC-CB-005 | Start create shows wizard | Expected: dialog or form,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,Create button should be available.,Form opens,failed,4323
65,TC-CB-006 | Configure surface | Expected: configure tab or row action,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,Dialog or form should open for bot creation.,Configure option available,failed,4639
66,TC-CB-007 | Test chatbot control | Expected: test or preview,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,Configuration options should be accessible.,Preview/test option present,passed,4341
67,TC-CB-008 | List or cards of bots | Expected: row or card,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,Test/preview feature should be present.,Card/list visible,passed,4174
68,TC-CB-009 | Search or filter bots | Expected: search or filter,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,Data rows or cards should be displayed.,Search/filter works,failed,4336
69,TC-CB-010 | Help or docs link optional | Expected: body still interactive,D:\Meta implementations\E2es Simple DC\tests\08-chatbots.spec.ts,Search/filter controls should be available.,Page remains interactive,passed,4342
70,TC-MS-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\09-channels-messenger.spec.ts,Page should remain interactive throughout.,Host valid,passed,4146
71,TC-MS-002 | URL messenger | Expected: path,D:\Meta implementations\E2es Simple DC\tests\09-channels-messenger.spec.ts,Workspace host should persist on integrations page.,Route correct,passed,4257
72,TC-MS-003 | Messenger copy | Expected: facebook or page wording,D:\Meta implementations\E2es Simple DC\tests\09-channels-messenger.spec.ts,URL path should be correct.,Facebook/page integration visible,passed,4177
73,TC-MS-004 | Facebook connect CTA | Expected: connect or login button,D:\Meta implementations\E2es Simple DC\tests\09-channels-messenger.spec.ts,Facebook/page-related content should be visible.,Connect/login CTA present,passed,4179
74,TC-MS-005 | Page instructions | Expected: setup or webhook hint,D:\Meta implementations\E2es Simple DC\tests\09-channels-messenger.spec.ts,Connect/Login button should be available.,Setup/webhook hint shown,passed,4233
75,TC-MS-006 | Click connect opens popup or navigates | Expected: new facebook/meta URL or popup,D:\Meta implementations\E2es Simple DC\tests\09-channels-messenger.spec.ts,Setup/webhook guidance should be visible.,External popup/redirect triggered,passed,6280
76,TC-MS-007 | Disconnect or manage if connected UI | Expected: optional secondary control,D:\Meta implementations\E2es Simple DC\tests\09-channels-messenger.spec.ts,OAuth flow (redirect/popup) should trigger.,Secondary control exists,passed,4157
77,TC-VA-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,Additional controls should be visible if applicable.,Host valid,passed,4242
78,TC-VA-002 | URL ai-agent | Expected: path,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,Workspace host should persist on voice agent page.,Route correct,passed,4168
79,TC-VA-003 | Voice vocabulary | Expected: voice or call wording,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,URL should match expected structure.,Voice/call context visible,passed,4192
80,TC-VA-004 | Create voice agent CTA | Expected: create or add button,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,Voice/call-related content should be visible.,Add/create action available,passed,4143
81,TC-VA-005 | Open create flow | Expected: dialog or step heading,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,Create/Add button should be present.,Step/dialog shown,passed,4305
82,TC-VA-006 | Manage agents surface | Expected: table row or manage action,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,Dialog or step-based UI should open.,Table/manage actions present,failed,4202
83,TC-VA-007 | Configure agent entry | Expected: configure tab or button,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,Management table or actions should be visible.,Configure option available,failed,4345
84,TC-VA-008 | Test or preview call | Expected: test button,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,Configuration controls should exist.,Test button visible,passed,7231
85,TC-VA-009 | Usage or plan banner | Expected: trial or usage copy,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,Test functionality should be available.,Usage/trial info present,failed,4167
86,TC-VA-010 | Voice subnav to overview | Expected: overview href or labeled link,D:\Meta implementations\E2es Simple DC\tests\10-voice-ai-agent.spec.ts,Usage/trial information should be shown.,Overview link exists,failed,4287
87,TC-VO-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\11-voice-overview.spec.ts,Overview or navigation link should be present.,Host loads,passed,4349
88,TC-VO-002 | URL overview | Expected: path,D:\Meta implementations\E2es Simple DC\tests\11-voice-overview.spec.ts,Workspace host should persist on dashboard.,Route valid,passed,4158
89,TC-VO-003 | KPI or dashboard copy | Expected: metrics wording,D:\Meta implementations\E2es Simple DC\tests\11-voice-overview.spec.ts,URL path should be correct.,Metrics/statistics visible,passed,4246
90,TC-VO-004 | Chart or stat cards | Expected: visual or upgrade panel,D:\Meta implementations\E2es Simple DC\tests\11-voice-overview.spec.ts,Metrics/statistics-related content should be visible.,Visual/upgrade panel present,passed,4240
91,TC-VO-005 | Navigate to campaign from overview | Expected: campaign link,D:\Meta implementations\E2es Simple DC\tests\11-voice-overview.spec.ts,Visual elements (charts/panels) should appear.,Campaign link exists,failed,41498
92,TC-VO-006 | Navigate to leads from overview | Expected: leads link,D:\Meta implementations\E2es Simple DC\tests\11-voice-overview.spec.ts,Campaign navigation link should exist.,Leads link exists ? (FAIL),failed,41736
93,TC-VC-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\12-voice-campaign.spec.ts,Leads navigation link should exist.,Host correct,passed,4723
94,TC-VC-002 | URL campaign | Expected: path,D:\Meta implementations\E2es Simple DC\tests\12-voice-campaign.spec.ts,Workspace host should persist on campaigns page.,Route valid,passed,4233
95,TC-VC-003 | Campaign vocabulary | Expected: campaign or dial wording,D:\Meta implementations\E2es Simple DC\tests\12-voice-campaign.spec.ts,URL path should be valid.,Campaign/dialer context visible,passed,4207
96,TC-VC-004 | Create campaign CTA | Expected: create or upgrade,D:\Meta implementations\E2es Simple DC\tests\12-voice-campaign.spec.ts,Campaign-related content should be visible.,Create/upgrade option present,passed,4224
97,TC-VC-005 | Start create campaign wizard | Expected: dialog or first step,D:\Meta implementations\E2es Simple DC\tests\12-voice-campaign.spec.ts,Create/Upgrade CTA should be present.,Setup dialog appears,passed,4430
98,TC-VC-006 | Campaign list or empty | Expected: grid or empty hint,D:\Meta implementations\E2es Simple DC\tests\12-voice-campaign.spec.ts,Dialog or initial setup step should open.,Grid/empty state shown,passed,4163
99,TC-VC-007 | Campaign content surface | Expected: table list or primary buttons,D:\Meta implementations\E2es Simple DC\tests\12-voice-campaign.spec.ts,Data grid or empty state should be shown.,Table/buttons present,passed,4188
100,TC-VC-008 | Page heading or toolbar | Expected: main heading visible,D:\Meta implementations\E2es Simple DC\tests\12-voice-campaign.spec.ts,Primary action buttons should be visible.,Heading visible,passed,4210
101,TC-VL-001 | Page loads | Expected: designcater host,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,Main heading should be clearly displayed.,Host valid,passed,4092
102,TC-VL-002 | URL leads | Expected: path,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,Workspace host should persist on leads page.,Route correct,passed,4161
103,TC-VL-003 | Leads vocabulary | Expected: lead or call wording,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,URL path should be correct.,Lead/call section visible,passed,4137
104,TC-VL-004 | Custom lead tab | Expected: custom or manual tab,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,Lead/call-related content should be visible.,Manual/custom tab present,passed,4165
105,TC-VL-005 | Click custom tab shows add or import | Expected: add lead or import,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,Custom/manual tab should be available.,Add/import option available,passed,4277
106,TC-VL-006 | All leads tab | Expected: all leads or all tab,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,Add/Import lead option should be present.,All leads tab visible ? (FAIL),passed,4213
107,TC-VL-007 | Export on all tab | Expected: export or csv,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,“All leads” tab should be visible.,Export/CSV option available ? (FAIL),passed,4340
108,TC-VL-008 | Iterate visible lead tabs | Expected: each tab keeps URL on leads,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,Export (CSV or similar) should be available.,Tabs maintain route,passed,4468
109,TC-VL-009 | Leads table or empty | Expected: grid or empty state,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,Tabs should not break URL structure.,Grid/empty state visible,passed,4512
110,TC-VL-010 | Search leads | Expected: searchbox or filter,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,Data grid or empty state should be shown.,Search/filter available,failed,4256
111,TC-VL-011 | Voice leads subnav to AI agent | Expected: ai-agent link,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,Search/filter controls should be available.,AI-agent link present ? (FAIL),passed,4496
112,TC-VL-012 | Pagination or load more | Expected: optional pager or rows,D:\Meta implementations\E2es Simple DC\tests\13-voice-leads.spec.ts,AI agent link should be accessible.,Pagination/rows visible,passed,4187
113,TC-XR-001 | Settings then home | Expected: both load authed,D:\Meta implementations\E2es Simple DC\tests\14-cross-routes-smoke.spec.ts,Pagination or row controls should be present.,Auth persists across pages,passed,7368
114,TC-XR-002 | Chatbots then canned | Expected: both URLs correct,D:\Meta implementations\E2es Simple DC\tests\14-cross-routes-smoke.spec.ts,Multiple routes should load while maintaining authentication.,Both routes correct,passed,5784
115,TC-XR-003 | Voice overview then campaign | Expected: voice paths,D:\Meta implementations\E2es Simple DC\tests\14-cross-routes-smoke.spec.ts,URLs across modules should remain consistent.,Voice-related routes functional ? (FAIL),passed,7614
116,TC-XR-004 | Users then banned | Expected: admin routes,D:\Meta implementations\E2es Simple DC\tests\14-cross-routes-smoke.spec.ts,Voice-related routes should resolve correctly.,Admin routes accessible,passed,8229
117,TC-XR-005 | Widget then messenger | Expected: integration routes,D:\Meta implementations\E2es Simple DC\tests\14-cross-routes-smoke.spec.ts,Admin and integration routes should be accessible.,Integration routes reachable,passed,7957
