Severity,Risk_id,File_Path,Line_Number,Issue_Type,Title,Description,Recommendation
CRITICAL,SEC-004,D:\Meta implementations\kogents-chat-backend\src\whatsapp\whatsapp.controller.ts,114,Security / Abuse,POST /whatsapp/reestablish-connections unauthenticated,Operational abuse DoS.,AuthGuard + admin.
CRITICAL,SEC-005,D:\Meta implementations\kogents-chat-backend\src\whatsapp\whatsapp.controller.ts,134,Security / Availability,POST /whatsapp/clear-session unauthenticated,Wipes session requiring QR re-pair.,AuthGuard strict role.
CRITICAL,SEC-006,D:\Meta implementations\kogents-chat-backend\src\whatsapp\whatsapp.controller.ts,1394,Security / Disclosure,GET /whatsapp/messages SSE CORS * no AuthGuard,Unauthenticated stream; may expose QR and live events per service wiring.,Tokenized SSE URL or cookie session; narrow CORS.
CRITICAL,SEC-007,D:\Meta implementations\kogents-chat-backend\src\whatsapp\whatsapp.controller.ts,522,Security / Misconfiguration,send-response without secret allowed when not production,Non-production allows missing WHATSAPP_SEND_RESPONSE_SECRET path.,Always require secret in deployed environments.
CRITICAL,SEC-008,D:\Meta implementations\kogents-chat-backend\src\whatsapp\whatsapp-public.controller.ts,28,Security / Integration risk,whatsapp/public controller intentionally unauthenticated,send-message bulk etc. depend on brandId/clientId knowledge — integration abuse if ids leak.,HMAC per workspace rate limits IP allowlist.
CRITICAL,SEC-011,D:\Meta implementations\kogents-chat-backend\src\whatsapp\whatsapp.controller.ts,182,Security / Abuse,POST /whatsapp/send-location unauthenticated,Location messages without JWT.,AuthGuard.
CRITICAL,SEC-012,D:\Meta implementations\kogents-chat-backend\src\whatsapp\whatsapp.controller.ts,305,Security / Abuse,POST /whatsapp/send-reply unauthenticated,Reply path without guard before guarded block at 243.,AuthGuard.
HIGH,SEC-009,D:\Meta implementations\kogents-chat-backend\src\widget\widget.controller.ts,2289,Security / Secret in URL,Widget embed URL includes apiToken query param,Referrer logs browser history leakage.,Short-lived signed token for embed.
HIGH,DEEP-011,D:\Meta implementations\kogents-chat-backend\src\widget\widget.controller.ts,47,Logic / Information leak,GET /widget/ai-available returns available:true when key missing,Line 47-48: missing key still returns available true with error field — callers may ignore error and treat as AI online.,Return available:false when key missing; HTTP 400.
HIGH,DEEP-012,D:\Meta implementations\kogents-chat-backend\src\workspace\workspace.controller.ts,206,Security / Abuse,@Public POST workspace/designcater-bot,Unauthenticated workspace+bot creation with file uploads — spam fake tenants storage cost.,Captcha invite-only token or remove Public in production.
HIGH,DEEP-013,D:\Meta implementations\kogents-chat-backend\src\workspace\workspace.controller.ts,323,Security / Abuse,@Public POST workspace/create,Same pattern — public onboarding endpoint abuse vector.,Rate limit email domain verification CAPTCHA.
HIGH,DEEP-014,D:\Meta implementations\kogents-chat-backend\src\ai-voice\voice-agent.controller.ts,462,Security / Disclosure,@Public GET :agentId/unanswered,Unauthenticated unanswered conversation listing for voice agent UUID.,Remove Public or require signed dashboard token.
