case_id,area,suite,test_title,expected_result,actual_result,status,duration_ms
LSB-TC-051,widget-settings,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-051 widget settings page shows Save Changes control,Widget settings page should show Save Changes control.,Save Changes control was visible on widget settings.,PASSED,16805
LSB-TC-052,widget-settings,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-052 widget settings hide preview plus save stays stable,Toggling Hide Preview and clicking Save Changes should keep the settings page stable.,Widget settings interaction completed without breaking the page.,PASSED,23978
LSB-TC-053,personal,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-053 personal page shows editable profile surface,Personal page should show profile shell with editable fields.,Personal profile shell was visible.,PASSED,16137
LSB-TC-055,personal,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-055 personal page accepts an edit draft and save click,Personal profile should allow editing a visible field and remain stable on Save/Update click.,A personal field was edited and save click kept the page responsive.,PASSED,22554
LSB-TC-056,roles,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-056 roles page shows Add Role control,"Roles page should expose Add Role, New Role, or Create Role control.",Role creation control was visible.,PASSED,20470
LSB-TC-057,roles,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-057 roles add flow accepts draft and save click,Roles add flow should accept text draft and remain stable on save click.,Role draft was entered and save click kept UI responsive.,PASSED,38445
LSB-TC-058,permissions,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-058 permissions page shows Add Permission control,Permissions page should expose Add Permission or Create Permission control.,Permission creation control was visible.,PASSED,21729
LSB-TC-059,permissions,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-059 permissions add flow accepts draft and save click,Permissions add flow should accept a text draft and remain stable on save click.,Permission draft was entered and save click kept UI responsive.,PASSED,40543
LSB-TC-060,triggers,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-060 triggers page shows Add Trigger control,"Triggers page should expose Add Trigger, New Trigger, or Create Trigger control.",Trigger creation control was visible.,PASSED,20627
LSB-TC-061,triggers,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-061 triggers add flow accepts draft and save click,Triggers add flow should accept a text draft and remain stable on save click.,Trigger draft was entered and save click kept UI responsive.,PASSED,28660
LSB-TC-062,departments,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-062 departments page shows Add Department control,Departments page should expose Add Department or Create Department control.,Department creation control was visible.,PASSED,21075
LSB-TC-063,departments,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-063 departments add flow accepts draft and save click,Departments add flow should accept a text draft and remain stable on save click.,Department draft was entered and save click kept UI responsive.,PASSED,20585
LSB-TC-064,banned-visitors,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-064 banned visitors page shows BAN IP Address control,Banned Visitors page should expose Ban IP Address or Block IP control.,Ban IP control was visible.,PASSED,18747
LSB-TC-065,banned-visitors,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-065 banned visitors flow accepts TEST-NET IP and save click,Ban IP flow should accept a valid TEST-NET IP address and remain stable on submit.,TEST-NET IP draft was entered and submit kept UI responsive.,PASSED,20553
LSB-TC-066,widget,Latest staging branch - public widget checks,LSB-TC-066 widget host page loads on HTTPS,Widget host page should load securely over HTTPS.,Widget host page loaded successfully over HTTPS.,PASSED,14520
LSB-TC-067,widget,Latest staging branch - public widget checks,LSB-TC-067 widget exposes launcher/composer interaction,Widget should expose a launcher or directly visible composer.,Widget composer became reachable.,PASSED,18387
LSB-TC-068,widget,Latest staging branch - public widget checks,LSB-TC-068 widget accepts a plain text message,Widget should allow typing and sending a plain text message.,Plain text widget message was sent and became visible.,PASSED,34226
LSB-TC-069,widget,Latest staging branch - public widget checks,LSB-TC-069 widget accepts multiline logo prompt,Widget should accept a multiline prompt asking for logo generation.,Multiline logo prompt was sent successfully.,PASSED,22771
LSB-TC-073,widget-bridge,Latest staging branch - widget to dashboard bridge,LSB-TC-073 widget attachment flow keeps visitors dashboard available,Sending a widget message with attachment interaction should still leave visitors dashboard accessible.,Attachment interaction worked and visitors dashboard remained available.,PASSED,50872
