Row_#,Run_Stamp,Suite_Batch_Label,Test_Case_ID,PASS_FAIL,Status,Priority,Area,Spec_File,Suite_Path,Test_Title,Test_Steps_Numbered,Expected_Result,Actual_Result,Duration_Ms,Stats_Passed,Stats_Failed,Stats_Skipped,Stats_Total
39,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-076,PASS,Passed,P1,Personal,dpa-07-banned-personal.spec.ts,dpa-07-banned-personal.spec.ts > D.push Auto — Banned visitors & personal > DPA-TC-076 | Personal — all features surface,,1. Login | 2. Personal | 3. Scan headings and fields,Ban IP or related control should open a form or provide meaningful interaction.,Ban IP functionality opened input form or relevant UI,12156,50,0,0,50
40,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-077,PASS,Passed,P1,Personal,dpa-07-banned-personal.spec.ts,dpa-07-banned-personal.spec.ts > D.push Auto — Banned visitors & personal > DPA-TC-077 | Personal — fill visible fields (non-submit),,1. Login | 2. Personal | 3. Fill visible fields,/personal page should load successfully.,Personal settings page loaded correctly,11060,50,0,0,50
41,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-083,PASS,Passed,P0,Widget,dpa-08-widget-bridge.spec.ts,dpa-08-widget-bridge.spec.ts > D.push Auto — vettedlogos.com widget → production dashboard > DPA-TC-083 | vettedlogos.com loads over HTTPS,,1. Open WIDGET_SITE_URL | 2. Assert body,Profile or edit controls should be visible on the page.,Profile/edit controls were visible and accessible,27918,50,0,0,50
42,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-085,PASS,Passed,P1,Widget,dpa-08-widget-bridge.spec.ts,dpa-08-widget-bridge.spec.ts > D.push Auto — vettedlogos.com widget → production dashboard > DPA-TC-085 | Chat launcher or composer discoverable,,1. Open site | 2. Count buttons+links+iframes,Input fields should accept typing without requiring immediate submission.,Input fields accepted user typing without issues,28535,50,0,0,50
43,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-086,PASS,Passed,P0,Widget,dpa-08-widget-bridge.spec.ts,dpa-08-widget-bridge.spec.ts > D.push Auto — vettedlogos.com widget → production dashboard > DPA-TC-086 | Send unique line from widget (visitor pipeline),,1. Open chat | 2. Fill probe | 3. Send,Marketing/public site should respond with visible content.,Public-facing (marketing) site responded correctly with content,31293,50,0,0,50
44,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-087,PASS,Passed,P0,Widget,dpa-08-widget-bridge.spec.ts,dpa-08-widget-bridge.spec.ts > D.push Auto — vettedlogos.com widget → production dashboard > DPA-TC-087 | Dashboard visitors after widget still substantive,,1. Goto visitors | 2. Body depth,"Buttons, iframe, or chat-related UI elements should be present.",Interactive elements (buttons/chat/iframe) were present and usable,14254,50,0,0,50
45,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-088,PASS,Passed,P1,Widget,dpa-08-widget-bridge.spec.ts,dpa-08-widget-bridge.spec.ts > D.push Auto — vettedlogos.com widget → production dashboard > DPA-TC-088 | Visitors may show probe or healthy table shell,,1. Widget send | 2. visitors | 3. probe OR body,User should be able to type a message and access the chat composer.,Chat composer was accessible and message input worked,38124,50,0,0,50
46,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-089,PASS,Passed,P1,Widget,dpa-08-widget-bridge.spec.ts,dpa-08-widget-bridge.spec.ts > D.push Auto — vettedlogos.com widget → production dashboard > DPA-TC-089 | Conversations after widget loads,,1. Widget ping | 2. conversations,Active session should persist; Visitors page should remain accessible.,Session remained active while navigating back to Visitors page,34165,50,0,0,50
47,20260504-130214-488,DPA-50cases-20260504-130214-488,DPA-TC-090,PASS,Passed,P1,Widget,dpa-08-widget-bridge.spec.ts,dpa-08-widget-bridge.spec.ts > D.push Auto — vettedlogos.com widget → production dashboard > DPA-TC-090 | Try attach sample file on widget (best effort),,1. Open widget | 2. setInputFiles if found,Visitors page should remain populated or update asynchronously without breaking.,Visitors page remained populated and stable during usage,27334,50,0,0,50
48,20260504-130214-488,DPA-50cases-20260504-130214-488,DPU-CHK-001,PASS,Passed,P0,Visitors+Conversations,dpa-09-smoke-checklist.spec.ts,dpa-09-smoke-checklist.spec.ts > D.push Auto — smoke checklist (DPU IDs) > DPU-CHK-001 | Ops: visitors + conversations shells,,1. Login | 2. visitors | 3. assert | 4. conversations | 5. assert,Conversations route should consistently display meaningful content.,Conversations module consistently displayed content without failure,16895,50,0,0,50
49,20260504-130214-488,DPA-50cases-20260504-130214-488,DPU-CHK-002,PASS,Passed,P0,Analytics+Monitor,dpa-09-smoke-checklist.spec.ts,dpa-09-smoke-checklist.spec.ts > D.push Auto — smoke checklist (DPU IDs) > DPU-CHK-002 | Analytics export try + monitor,,1. Login | 2. analytics | 3. tryAnalyticsExport | 4. monitor | 5. body,File input should accept uploads or fail gracefully without crashing the page.,File input interactions completed without crashing the application,73231,50,0,0,50
50,20260504-130214-488,DPA-50cases-20260504-130214-488,DPU-CHK-006,PASS,Passed,P0,Widget,dpa-09-smoke-checklist.spec.ts,dpa-09-smoke-checklist.spec.ts > D.push Auto — smoke checklist (DPU IDs) > DPU-CHK-006 | Widget site: HTTPS host + message ping,,1. Assert WIDGET_SITE_URL | 2. newPage | 3. open site | 4. send probe,Application should run securely over HTTPS and chat composer should allow message interaction.,Application operated over HTTPS and chat interactions were functional,28584,50,0,0,50
