Row_#,Run_Stamp,Suite_Batch_Label,Test_Case_ID,PASS_FAIL,Status,Priority,Area,Spec_File,Suite_Path,Test_Title,Test_Steps_Numbered,Expected_Result,Actual_Result,Duration_Ms,Stats_Passed,Stats_Failed,Stats_Skipped,Stats_Total
16,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-023,PASS,Passed,P0,Analytics,elpk-03-analytics-monitor.spec.ts,elpk-03-analytics-monitor.spec.ts > E2e Latest Push K Sath — Analytics & monitor > ELPK-TC-023 | Export Reports — primary attempt,,1. Login | 2. Analytics | 3. Try export,Export/download functionality is available.,Export/download option was present on the page.,79257,62,0,0,62
17,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-026,PASS,Passed,P0,Monitor,elpk-03-analytics-monitor.spec.ts,elpk-03-analytics-monitor.spec.ts > E2e Latest Push K Sath — Analytics & monitor > ELPK-TC-026 | Monitor route loads,,1. Login | 2. Goto monitor,Export action triggers expected behavior without breaking UI.,Export action executed without UI disruption.,16044,62,0,0,62
18,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-027,PASS,Passed,P0,Monitor,elpk-03-analytics-monitor.spec.ts,elpk-03-analytics-monitor.spec.ts > E2e Latest Push K Sath — Analytics & monitor > ELPK-TC-027 | Monitor substantive body,,1. Login | 2. Monitor | 3. Body,/monitor route loads correctly.,Monitor page loaded successfully.,15785,62,0,0,62
19,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-097,PASS,Passed,P1,Analytics,elpk-03-analytics-monitor.spec.ts,elpk-03-analytics-monitor.spec.ts > E2e Latest Push K Sath — Analytics & monitor > ELPK-TC-097 | Analytics — Chat Report + Agent Report tabs (soft),,1. Login | 2. Analytics | 3. Chat Report tab if found | 4. Agent Report tab if found,Page displays meaningful content (not blank).,Page content was visible and meaningful.,18643,62,0,0,62
20,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-033,PASS,Passed,P0,Users,elpk-04-users-tags-canned.spec.ts,"elpk-04-users-tags-canned.spec.ts > E2e Latest Push K Sath — Users, tags, canned responses > ELPK-TC-033 | Users route loads",,1. Login | 2. Goto users,Report tabs (Chat/Agent) function correctly if present.,Report tabs (if available) functioned correctly.,16857,62,0,0,62
21,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-034,PASS,Passed,P0,Users,elpk-04-users-tags-canned.spec.ts,"elpk-04-users-tags-canned.spec.ts > E2e Latest Push K Sath — Users, tags, canned responses > ELPK-TC-034 | Users — Add User opens form",,1. Login | 2. Users | 3. Add User,/users page loads with settings interface.,Users page loaded with configuration interface.,17009,62,0,0,62
22,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-035,PASS,Passed,P1,Users,elpk-04-users-tags-canned.spec.ts,"elpk-04-users-tags-canned.spec.ts > E2e Latest Push K Sath — Users, tags, canned responses > ELPK-TC-035 | Users list, filter/search, or table signal",,1. Login | 2. Users | 3. Scan list and filter,"Add User action opens modal, drawer, or form.",Add User action opened the appropriate form/modal.,15804,62,0,0,62
23,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-038,PASS,Passed,P0,Tags,elpk-04-users-tags-canned.spec.ts,"elpk-04-users-tags-canned.spec.ts > E2e Latest Push K Sath — Users, tags, canned responses > ELPK-TC-038 | Tags — Create tag opens form",,1. Login | 2. Goto tags | 3. Assert URL + shell | 4. Create,"Page includes table data, filters, or multiple interactive elements.",Data table and interactive controls were visible.,18456,62,0,0,62
24,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-040,PASS,Passed,P0,Canned,elpk-04-users-tags-canned.spec.ts,"elpk-04-users-tags-canned.spec.ts > E2e Latest Push K Sath — Users, tags, canned responses > ELPK-TC-040 | Canned responses route loads",,1. Login | 2. Goto canned,/tags page loads successfully.,Tags page loaded successfully.,17405,62,0,0,62
25,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-041,PASS,Passed,P0,Canned,elpk-04-users-tags-canned.spec.ts,"elpk-04-users-tags-canned.spec.ts > E2e Latest Push K Sath — Users, tags, canned responses > ELPK-TC-041 | Canned — Manage / Add opens form",,1. Login | 2. Canned | 3. Add/Manage,Create Tag functionality opens a form interface.,Tag creation flow opened correctly.,17790,62,0,0,62
26,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-045,PASS,Passed,P0,Widget,elpk-05-widget-settings.spec.ts,elpk-05-widget-settings.spec.ts > E2e Latest Push K Sath — Widget settings > ELPK-TC-045 | Widget-settings route loads,,1. Login | 2. Goto widget-settings,/canned-responses page loads correctly.,Canned Responses page loaded properly.,16989,62,0,0,62
27,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-046,PASS,Passed,P0,Widget,elpk-05-widget-settings.spec.ts,elpk-05-widget-settings.spec.ts > E2e Latest Push K Sath — Widget settings > ELPK-TC-046 | Widget — all tabs walk,,1. Login | 2. widget-settings | 3. Click tabs,Add/Manage response functionality opens proper UI.,Add/Manage response actions opened the correct UI.,22682,62,0,0,62
28,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-047,PASS,Passed,P1,Widget,elpk-05-widget-settings.spec.ts,elpk-05-widget-settings.spec.ts > E2e Latest Push K Sath — Widget settings > ELPK-TC-047 | Widget — hide preview if present,,1. Login | 2. widget-settings | 3. Hide preview,/widget-settings page loads successfully.,Widget Settings page loaded successfully.,16354,62,0,0,62
29,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-048,PASS,Passed,P0,Widget,elpk-05-widget-settings.spec.ts,elpk-05-widget-settings.spec.ts > E2e Latest Push K Sath — Widget settings > ELPK-TC-048 | Widget — save changes,,1. Login | 2. widget-settings | 3. Save,Tabs are visible or page is usable without them.,Tabs or content sections were accessible.,26627,62,0,0,62
30,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-049,PASS,Passed,P2,Widget,elpk-05-widget-settings.spec.ts,elpk-05-widget-settings.spec.ts > E2e Latest Push K Sath — Widget settings > ELPK-TC-049 | Widget — reset if present,,1. Login | 2. widget-settings | 3. Reset optional,Preview toggle (if available) works correctly.,Preview toggle functioned as expected.,19111,62,0,0,62
31,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-055,PASS,Passed,P0,Roles,elpk-06-rbac-org.spec.ts,"elpk-06-rbac-org.spec.ts > E2e Latest Push K Sath — Roles, permissions, triggers, departments > ELPK-TC-055 | Roles route loads",,1. Login | 2. Goto roles,Save button is functional.,Save functionality worked correctly.,17097,62,0,0,62
32,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-056,PASS,Passed,P0,Roles,elpk-06-rbac-org.spec.ts,"elpk-06-rbac-org.spec.ts > E2e Latest Push K Sath — Roles, permissions, triggers, departments > ELPK-TC-056 | Roles — Add Role form",,1. Login | 2. roles | 3. Add Role,Reset option works without breaking the page.,Reset option (if present) worked without issues.,18114,62,0,0,62
33,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-058,PASS,Passed,P0,Permissions,elpk-06-rbac-org.spec.ts,"elpk-06-rbac-org.spec.ts > E2e Latest Push K Sath — Roles, permissions, triggers, departments > ELPK-TC-058 | Permissions route loads",,1. Login | 2. Goto permissions,/roles page loads correctly.,Roles page loaded successfully.,17702,62,0,0,62
34,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-059,PASS,Passed,P0,Permissions,elpk-06-rbac-org.spec.ts,"elpk-06-rbac-org.spec.ts > E2e Latest Push K Sath — Roles, permissions, triggers, departments > ELPK-TC-059 | Permissions — Add Permission form",,1. Login | 2. permissions | 3. Add,Add Role action opens a form interface.,Add Role action opened the form interface.,17578,62,0,0,62
35,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-061,PASS,Passed,P0,Triggers,elpk-06-rbac-org.spec.ts,"elpk-06-rbac-org.spec.ts > E2e Latest Push K Sath — Roles, permissions, triggers, departments > ELPK-TC-061 | Triggers route loads",,1. Login | 2. Goto triggers,/permissions page loads successfully.,Permissions page loaded successfully.,17422,62,0,0,62
36,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-062,PASS,Passed,P0,Triggers,elpk-06-rbac-org.spec.ts,"elpk-06-rbac-org.spec.ts > E2e Latest Push K Sath — Roles, permissions, triggers, departments > ELPK-TC-062 | Triggers — Add Trigger form",,1. Login | 2. triggers | 3. Add,Add Permission action opens correctly.,Add Permission functionality worked correctly.,18166,62,0,0,62
37,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-065,PASS,Passed,P0,Departments,elpk-06-rbac-org.spec.ts,"elpk-06-rbac-org.spec.ts > E2e Latest Push K Sath — Roles, permissions, triggers, departments > ELPK-TC-065 | Departments — Add Department form",,1. Login | 2. Goto departments | 3. Assert URL + shell | 4. Add,/triggers page loads successfully.,Triggers page loaded successfully.,19010,62,0,0,62
38,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-071,PASS,Passed,P0,Banned,elpk-07-banned-personal.spec.ts,elpk-07-banned-personal.spec.ts > E2e Latest Push K Sath — Banned visitors & personal > ELPK-TC-071 | Banned visitors route loads,,1. Login | 2. Goto banned-visitors,Add Trigger action opens form UI.,Add Trigger action opened the required form.,15523,62,0,0,62
39,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-072,PASS,Passed,P0,Banned,elpk-07-banned-personal.spec.ts,elpk-07-banned-personal.spec.ts > E2e Latest Push K Sath — Banned visitors & personal > ELPK-TC-072 | Banned — Ban IP / add flow,,1. Login | 2. Banned | 3. Add / Ban,/departments page loads correctly.,Departments page loaded successfully.,17116,62,0,0,62
40,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-075,PASS,Passed,P0,Personal,elpk-07-banned-personal.spec.ts,elpk-07-banned-personal.spec.ts > E2e Latest Push K Sath — Banned visitors & personal > ELPK-TC-075 | Personal route loads,,1. Login | 2. Goto personal,Add Department action opens form UI.,Add Department functionality worked correctly.,16804,62,0,0,62
41,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-076,PASS,Passed,P1,Personal,elpk-07-banned-personal.spec.ts,elpk-07-banned-personal.spec.ts > E2e Latest Push K Sath — Banned visitors & personal > ELPK-TC-076 | Personal — all features surface,,1. Login | 2. Personal | 3. Scan headings and fields,/banned-visitors page loads successfully.,Banned Visitors page loaded successfully.,17176,62,0,0,62
42,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-077,PASS,Passed,P1,Personal,elpk-07-banned-personal.spec.ts,elpk-07-banned-personal.spec.ts > E2e Latest Push K Sath — Banned visitors & personal > ELPK-TC-077 | Personal — fill visible fields (non-submit),,1. Login | 2. Personal | 3. Fill visible fields,Ban IP or block functionality opens proper interface.,Ban/Block IP functionality opened appropriate controls.,15734,62,0,0,62
43,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-083,PASS,Passed,P0,Widget,elpk-08-widget-bridge.spec.ts,elpk-08-widget-bridge.spec.ts > E2e Latest Push K Sath — vettedlogos.com widget → staging dashboard > ELPK-TC-083 | vettedlogos.com loads over HTTPS,,1. Open WIDGET_SITE_URL | 2. Assert body,/personal page loads successfully.,Personal/Profile page loaded successfully.,25764,62,0,0,62
44,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-085,PASS,Passed,P1,Widget,elpk-08-widget-bridge.spec.ts,elpk-08-widget-bridge.spec.ts > E2e Latest Push K Sath — vettedlogos.com widget → staging dashboard > ELPK-TC-085 | Chat launcher or composer discoverable,,1. Open site | 2. Count buttons+links+iframes,Profile/edit controls are visible.,Profile editing options were visible.,25431,62,0,0,62
45,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-086,PASS,Passed,P0,Widget,elpk-08-widget-bridge.spec.ts,elpk-08-widget-bridge.spec.ts > E2e Latest Push K Sath — vettedlogos.com widget → staging dashboard > ELPK-TC-086 | Send unique line from widget (visitor pipeline),,1. Open chat | 2. Fill probe | 3. Send,Input fields accept user input without issues.,Input fields accepted user input correctly.,31175,62,0,0,62
46,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-087,PASS,Passed,P0,Widget,elpk-08-widget-bridge.spec.ts,elpk-08-widget-bridge.spec.ts > E2e Latest Push K Sath — vettedlogos.com widget → staging dashboard > ELPK-TC-087 | Dashboard visitors after widget still substantive,,1. Goto visitors | 2. Body depth,Marketing website responds correctly with visible content.,Marketing/front-facing site responded with visible content.,15955,62,0,0,62
47,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-088,PASS,Passed,P1,Widget,elpk-08-widget-bridge.spec.ts,elpk-08-widget-bridge.spec.ts > E2e Latest Push K Sath — vettedlogos.com widget → staging dashboard > ELPK-TC-088 | Visitors may show probe or healthy table shell,,1. Widget send | 2. visitors | 3. probe OR body,Interactive elements (buttons/chat/iframe) are present.,Interactive elements (buttons/chat/embed) were present.,41088,62,0,0,62
48,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-089,PASS,Passed,P1,Widget,elpk-08-widget-bridge.spec.ts,elpk-08-widget-bridge.spec.ts > E2e Latest Push K Sath — vettedlogos.com widget → staging dashboard > ELPK-TC-089 | Conversations after widget loads,,1. Widget ping | 2. conversations,Chat/message composer is accessible and usable.,Message composer was accessible and functional.,38374,62,0,0,62
49,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-090,PASS,Passed,P1,Widget,elpk-08-widget-bridge.spec.ts,elpk-08-widget-bridge.spec.ts > E2e Latest Push K Sath — vettedlogos.com widget → staging dashboard > ELPK-TC-090 | Try attach sample file on widget (best effort),,1. Open widget | 2. setInputFiles if found,Session remains active while navigating between pages.,Session remained stable during navigation.,29575,62,0,0,62
50,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-CHK-001,PASS,Passed,P0,Visitors+Conversations,elpk-09-smoke-checklist.spec.ts,elpk-09-smoke-checklist.spec.ts > E2e Latest Push K Sath — smoke checklist (ELPK-CHK IDs) > ELPK-CHK-001 | Ops: visitors + conversations shells,,1. Login | 2. visitors | 3. assert | 4. conversations | 5. assert,Visitors page remains stable with data visibility.,Visitors data remained visible and consistent.,21214,62,0,0,62
51,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-CHK-002,PASS,Passed,P0,Analytics+Monitor,elpk-09-smoke-checklist.spec.ts,elpk-09-smoke-checklist.spec.ts > E2e Latest Push K Sath — smoke checklist (ELPK-CHK IDs) > ELPK-CHK-002 | Analytics export try + monitor,,1. Login | 2. analytics | 3. tryAnalyticsExport | 4. monitor | 5. body,Conversations route consistently shows meaningful content.,Conversations page continued to display valid data.,78422,62,0,0,62
52,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-CHK-006,PASS,Passed,P0,Widget,elpk-09-smoke-checklist.spec.ts,elpk-09-smoke-checklist.spec.ts > E2e Latest Push K Sath — smoke checklist (ELPK-CHK IDs) > ELPK-CHK-006 | Widget site: HTTPS host + message ping,,1. Assert WIDGET_SITE_URL | 2. newPage | 3. open site | 4. send probe,File upload inputs accept data without crashing the application.,File upload inputs worked without crashing the system.,34352,62,0,0,62
53,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-100,PASS,Passed,P0,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-100 | Account route loads,,1. Login | 2. Goto account,Multiple routes load correctly without breaking navigation.,Navigation across multiple routes remained stable.,16734,62,0,0,62
54,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-101,PASS,Passed,P0,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-101 | Account substantive body,,1. Login | 2. Account | 3. Body check,Analytics export feature works alongside stable monitor page.,Analytics export and monitor page worked together without issues.,16305,62,0,0,62
55,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-102,PASS,Passed,P0,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-102 | Account — walk all primary tabs,,1. Login | 2. Account | 3. Click each [role=tab],Website loads securely over HTTPS.,Website loaded securely over HTTPS.,20004,62,0,0,62
56,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-103,PASS,Passed,P1,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-103 | Account — URL remains account area after tab clicks,,1. Login | 2. Account | 3. Tabs | 4. Assert URL,/account route loads with proper structure.,Account page loaded with proper layout.,19466,62,0,0,62
57,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-104,PASS,Passed,P1,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-104 | Account — reload stability,,1. Login | 2. Account | 3. Reload,Page content is visible and not empty.,Page content was visible and not empty.,16167,62,0,0,62
58,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-105,PASS,Passed,P2,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-105 | Account — interactives present,,1. Login | 2. Account | 3. Count,All tabs within account section function without errors.,All tabs functioned without breaking the interface.,18027,62,0,0,62
59,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-106,PASS,Passed,P2,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-106 | Account — security / billing / profile copy (soft),,1. Login | 2. Account | 3. Scan body,Navigation remains within account section after tab switching.,Navigation remained within account section after interaction.,16031,62,0,0,62
60,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-107,PASS,Passed,P1,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-107 | Account ↔ workspace round trip,,1. Login | 2. workspace | 3. account,Reload preserves account page state.,Reload preserved account page state.,20190,62,0,0,62
61,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-108,PASS,Passed,P2,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-108 | Account — fill visible fields (non-submit),,1. Login | 2. Account | 3. fillTestFields,Page contains interactive elements or sufficient structured content.,Page maintained sufficient content or interactive elements.,16742,62,0,0,62
62,20260504-151145-938,ELPK-62cases-20260504-151145-938,ELPK-TC-109,PASS,Passed,P3,Account,elpk-10-account.spec.ts,elpk-10-account.spec.ts > E2e Latest Push K Sath — Account (all tabs) > ELPK-TC-109 | Account — nested links or secondary nav (soft),,1. Login | 2. Account | 3. Optional inner link,Inputs and internal navigation behave correctly without requiring submission or causing UI issues.,Inputs and internal navigation worked smoothly without errors.,16977,62,0,0,62
