case_id,area,suite,test_title,expected_result,actual_result,status,duration_ms
LSB-TC-030,monitor,"Latest staging branch - visitors, chat logs, monitor",LSB-TC-030 monitor page shows dashboard cards or data blocks,"Monitor page should show cards, blocks, widgets, or a metrics surface.",Monitor page showed metrics/dashboard blocks.,PASSED,9951
LSB-TC-031,monitor,"Latest staging branch - visitors, chat logs, monitor",LSB-TC-031 monitor page has refresh or filter affordance,"Monitor page should expose refresh, filter, or date controls.",Monitor page exposed refresh/filter/date affordance.,PASSED,9555
LSB-TC-034,analytics,Latest staging branch - analytics and export reports,LSB-TC-034 analytics page shows charts or data surface,"Analytics page should show charts, graphs, widgets, or report data.",Analytics surface was visible.,PASSED,10788
LSB-TC-035,analytics,Latest staging branch - analytics and export reports,LSB-TC-035 analytics page exposes export reports control,Analytics page should provide Export Reports or an equivalent export/download action.,Export/download control was visible on analytics page.,PASSED,9530
LSB-TC-036,analytics,Latest staging branch - analytics and export reports,LSB-TC-036 analytics export action keeps page responsive,Clicking export should not blank or crash the analytics page.,Export interaction completed without blanking the page.,PASSED,11795
LSB-TC-037,analytics,Latest staging branch - analytics and export reports,LSB-TC-037 analytics page shows date range or period controls,"Analytics page should expose date range, period, or calendar controls.",Date/range control was available on analytics page.,PASSED,9221
LSB-TC-040,users,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-040 users page shows Add User control,"Users page should expose Add User, Invite User, or New User control.",Users creation entry control was visible.,PASSED,9188
LSB-TC-041,users,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-041 users add flow shows email field,Opening Add User should show an email field.,Users form displayed an email field.,PASSED,10794
LSB-TC-042,users,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-042 users add flow accepts draft data and save click,Users add flow should accept draft data and stay responsive after save click.,Users draft entry was filled and save click did not crash the page.,PASSED,9898
LSB-TC-043,tags,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-043 tags page shows Create Tag control,"Tags page should expose Create Tag, New Tag, or Add Tag control.",Tag creation control was visible.,PASSED,10070
LSB-TC-044,tags,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-044 tags create flow shows a name field,Opening Create Tag should show a text input for tag name.,Tag creation form displayed a visible text field.,PASSED,9944
LSB-TC-045,tags,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-045 tags create flow accepts unique tag name,Tags flow should accept a unique name and remain stable on save click.,Unique tag name was entered and save click kept UI responsive.,PASSED,50571
LSB-TC-046,canned-responses,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-046 canned responses page shows Add Response control,Canned Responses page should expose Add Response or equivalent creation control.,Canned response creation control was visible.,PASSED,9385
LSB-TC-047,canned-responses,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-047 canned responses add flow shows editable content field,Opening Add Response should show textarea or editable content area.,Canned response editor became visible.,PASSED,10532
LSB-TC-048,canned-responses,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-048 canned responses flow accepts a response draft,Canned Responses flow should accept text draft and remain stable on save click.,Response draft was entered and save click kept the page responsive.,PASSED,41000
LSB-TC-049,widget-settings,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-049 widget settings page shows Hide Preview affordance,Widget settings page should show Hide Preview or Preview control.,Hide Preview or Preview control was visible.,PASSED,9281
LSB-TC-050,widget-settings,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-050 widget settings page shows Reset control,Widget settings page should show Reset control.,Reset control was visible on widget settings.,PASSED,10093
LSB-TC-051,widget-settings,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-051 widget settings page shows Save Changes control,Widget settings page should show Save Changes control.,Save Changes control was visible on widget settings.,PASSED,9903
LSB-TC-052,widget-settings,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-052 widget settings hide preview plus save stays stable,Toggling Hide Preview and clicking Save Changes should keep the settings page stable.,Widget settings interaction completed without breaking the page.,PASSED,20062
LSB-TC-053,personal,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-053 personal page shows editable profile surface,Personal page should show profile shell with editable fields.,Personal profile shell was visible.,PASSED,9667
LSB-TC-055,personal,"Latest staging branch - users, tags, canned, widget settings, personal",LSB-TC-055 personal page accepts an edit draft and save click,Personal profile should allow editing a visible field and remain stable on Save/Update click.,A personal field was edited and save click kept the page responsive.,PASSED,11357
LSB-TC-056,roles,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-056 roles page shows Add Role control,"Roles page should expose Add Role, New Role, or Create Role control.",Role creation control was visible.,PASSED,9159
LSB-TC-057,roles,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-057 roles add flow accepts draft and save click,Roles add flow should accept text draft and remain stable on save click.,Role draft was entered and save click kept UI responsive.,PASSED,50066
LSB-TC-058,permissions,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-058 permissions page shows Add Permission control,Permissions page should expose Add Permission or Create Permission control.,Permission creation control was visible.,PASSED,19607
LSB-TC-059,permissions,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-059 permissions add flow accepts draft and save click,Permissions add flow should accept a text draft and remain stable on save click.,Permission draft was entered and save click kept UI responsive.,PASSED,30854
LSB-TC-060,triggers,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-060 triggers page shows Add Trigger control,"Triggers page should expose Add Trigger, New Trigger, or Create Trigger control.",Trigger creation control was visible.,PASSED,10067
LSB-TC-061,triggers,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-061 triggers add flow accepts draft and save click,Triggers add flow should accept a text draft and remain stable on save click.,Trigger draft was entered and save click kept UI responsive.,PASSED,10067
LSB-TC-062,departments,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-062 departments page shows Add Department control,Departments page should expose Add Department or Create Department control.,Department creation control was visible.,PASSED,9394
LSB-TC-063,departments,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-063 departments add flow accepts draft and save click,Departments add flow should accept a text draft and remain stable on save click.,Department draft was entered and save click kept UI responsive.,PASSED,11019
LSB-TC-064,banned-visitors,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-064 banned visitors page shows BAN IP Address control,Banned Visitors page should expose Ban IP Address or Block IP control.,Ban IP control was visible.,PASSED,9394
LSB-TC-065,banned-visitors,"Latest staging branch - roles, permissions, triggers, departments, banned visitors",LSB-TC-065 banned visitors flow accepts TEST-NET IP and save click,Ban IP flow should accept a valid TEST-NET IP address and remain stable on submit.,TEST-NET IP draft was entered and submit kept UI responsive.,PASSED,6991
LSB-TC-066,widget,Latest staging branch - public widget checks,LSB-TC-066 widget host page loads on HTTPS,Widget host page should load securely over HTTPS.,Widget host page loaded successfully over HTTPS.,PASSED,5601
LSB-TC-067,widget,Latest staging branch - public widget checks,LSB-TC-067 widget exposes launcher/composer interaction,Widget should expose a launcher or directly visible composer.,Widget composer became reachable.,PASSED,5775
LSB-TC-070,widget,Latest staging branch - public widget checks,LSB-TC-070 widget allows attaching a text file,Widget should expose file upload and accept a text file attachment.,Widget accepted a text file attachment input.,PASSED,14926
LSB-TC-071,widget,Latest staging branch - public widget checks,LSB-TC-071 widget allows attaching an image file,Widget should expose file upload and accept an image attachment.,Widget accepted an image file attachment input.,PASSED,13296
